CIBN频道,#genre#
CIBN精品影院,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=JingPin
CIBN生活,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=YouXi
CIBN军事,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=YinYue
CIBN真人秀,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=LuShi
CIBN文旅中国,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=MeiZhuang
CIBN嗨播,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=LvYou
CIBN时尚生活,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DongLinFaYin
CIBN童学世界,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=ReBo
CIBN经典剧场,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DOTA2
CIBN风尚运动,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DuShi
CIBN汽车,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=QiChe
CIBN华语影院,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=TiYu
CIBN情感影院,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=QingGan
CIBN骄阳剧场,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=JingDian
CIBN健康,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=JianKang
CIBN全电竞,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=115
CIBN喜剧影院,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=TongBu
CIBN炫佳动漫,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DongMan
CIBN微电影,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=WeiDianYing
CIBN热卖推荐,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=400
CIBN院线大片,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DanJi
CIBN品质生活,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=1
CIBN古装剧场,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=ZongYi
CIBN动漫剧场,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=QinZi
CIBN好莱坞,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=ZongHe
CIBN家居用品,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=jiayougouwu
CIBN流金岁月,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=Shoucang
CIBN好物,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=178
CIBN艺术院线,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=YingXiong
CIBN电影导视,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=FengShang
CIBN电影综合,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DianYing
CIBN纪录片,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=JiLuPian
CIBN综合,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=DianJing
CIBN动作影院,http://nas.330421.cn:8880/Project/IPTV/www/cibn.php?code=ShengHuo
